listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
3148637,Praha 2,Entire home/apt,3,1.0,1.0,0,318
3154506,Praha 6,Entire home/apt,3,1.0,2.0,0,241
3156119,Praha 2,Private room,2,1.0,1.0,0,419
3182714,Praha 3,Private room,2,1.5,1.0,1,1345
3187173,Praha 3,Private room,2,1.5,1.0,1,1248
3198177,Praha 1,Entire home/apt,6,1.0,4.0,0,454
3199817,Praha 1,Entire home/apt,2,1.0,1.0,0,361
3207742,Praha 6,Private room,2,1.0,1.0,0,222
3213848,Praha 6,Entire home/apt,3,1.5,2.0,0,678
3245650,Praha 1,Entire home/apt,2,1.0,1.0,0,417
3253477,Praha 1,Entire home/apt,6,1.0,3.0,0,362
3265856,Praha 1,Private room,2,1.0,2.0,1,941
3268602,Praha 2,Entire home/apt,4,1.0,2.0,0,899
3274839,Praha 1,Private room,4,1.0,2.0,0,1066
3285761,Praha 8,Entire home/apt,3,1.0,2.0,0,584
3330473,Praha 8,Entire home/apt,3,1.5,2.0,0,597
3337262,Praha 6,Entire home/apt,4,1.0,1.0,0,463
3341259,Praha 1,Private room,4,1.0,2.0,0,1077
3341514,Praha 1,Private room,4,1.0,2.0,0,1045
3341640,Praha 1,Entire home/apt,12,3.0,6.0,0,1133
3352182,Praha 3,Entire home/apt,2,1.0,1.0,0,1115
3368779,Praha 2,Private room,3,1.0,2.0,0,433
3368961,Praha 5,Entire home/apt,2,1.0,2.0,0,225
3374551,Praha 2,Entire home/apt,3,1.0,1.0,0,367
3378938,Praha 22,Entire home/apt,8,2.0,5.0,0,169
3387737,Praha 1,Entire home/apt,4,1.0,2.0,0,1091
3401932,Praha 4,Entire home/apt,6,1.0,5.0,0,316
3402184,Praha 3,Entire home/apt,3,1.0,1.0,0,873
3408724,Praha 5,Entire home/apt,5,1.0,5.0,0,857
3428179,Praha 1,Entire home/apt,3,1.0,2.0,0,392
3436550,Praha 1,Entire home/apt,9,2.5,5.0,0,610
3460998,Praha 3,Entire home/apt,2,1.0,3.0,0,875
3480125,Praha 2,Entire home/apt,3,1.5,3.0,0,237
3488195,Praha 1,Entire home/apt,3,1.0,3.0,0,774
3493351,Praha 1,Private room,2,1.5,1.0,1,312
3500337,Praha 8,Entire home/apt,2,1.0,1.0,0,334
3500815,Praha 4,Entire home/apt,4,1.0,2.0,0,1229
3501675,Praha 5,Entire home/apt,2,1.5,2.0,0,799
3507063,Praha 1,Entire home/apt,4,1.0,2.0,0,893
3526480,Praha 1,Entire home/apt,3,1.0,2.0,0,722
3538342,Praha 9,Entire home/apt,2,1.0,1.0,0,650
3555487,Praha 10,Entire home/apt,2,1.0,2.0,0,855
3572425,Praha 1,Entire home/apt,4,1.0,2.0,0,613
3587595,Praha 1,Entire home/apt,2,1.0,2.0,0,275
3607157,Praha 7,Entire home/apt,4,1.0,3.0,0,635
3620011,Praha 1,Private room,4,1.5,4.0,1,1120
3644735,Praha 3,Entire home/apt,3,1.0,4.0,0,301
3650454,Praha 6,Entire home/apt,2,1.0,1.0,0,447
3651936,Praha 8,Private room,2,1.0,1.0,1,558
3674459,Praha 1,Entire home/apt,8,1.5,4.0,0,445
3690456,Praha 1,Entire home/apt,6,2.0,3.0,0,981
3691278,Praha 1,Entire home/apt,11,1.5,6.0,0,356
3692265,Praha 9,Entire home/apt,2,1.5,2.0,0,573
3694257,Praha 2,Private room,4,1.0,2.0,0,938
3700086,Praha 1,Private room,2,1.0,1.0,1,1346
3701347,Praha 2,Entire home/apt,9,2.5,9.0,0,500
3761912,Praha 2,Entire home/apt,4,1.0,2.0,0,712
3769213,Praha 1,Entire home/apt,4,1.0,2.0,0,322
3792214,Praha 1,Entire home/apt,7,1.0,5.0,0,1155
3795323,Praha 1,Entire home/apt,5,1.0,2.0,0,973
3798283,Praha 1,Entire home/apt,6,1.0,3.0,0,506
3799767,Praha 5,Entire home/apt,2,1.5,1.0,0,102
