listing_id,date,price,minimum_nights,maximum_nights,in_season,weekend,new_year,busy,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30,sentiment_score
657452848756631661,2024-09-13,2100.0,10,1125,0,1,0,0.8082191780821918,Praha 2,Entire home/apt,2,1.0,1.0,0,934,1950.0,0.0,t,5.0,488.24500183806487,Both,1.1,f,8.0,t,10,0.6853345762938261
764446163157971785,2024-09-13,3133.0,1,1125,0,1,0,0.1972602739726027,Praha 1,Entire home/apt,7,1.5,4.0,0,681,3700.0,0.0,t,4.83,3.855206085764145,Both,5.55,t,7.0,t,5,0.6999759078025818
917361112004892253,2024-09-13,1650.0,2,45,0,1,0,0.084931506849315,Praha 5,Entire home/apt,4,1.0,2.0,0,284,1650.0,0.0,f,4.0,5.973202765973969,Both,3.89,f,7.0,t,8,0.5973957138402122
20860421,2024-09-13,933.0,3,60,0,1,0,0.852054794520548,Praha 3,Private room,2,1.0,2.0,1,277,565.0,0.0,f,4.39,73.0207332285366,Both,0.43,t,8.0,t,8,0.6165754064436881
16921137,2024-09-13,1250.0,2,30,0,1,0,0.9068493150684932,Praha 2,Private room,4,1.5,4.0,0,453,1250.0,0.0,f,4.61,1.6796561374309336,Both,0.48,f,8.0,t,0,0.6556489624475178
48777264,2024-09-13,3591.0,3,1125,0,1,0,0.1150684931506849,Praha 2,Entire home/apt,4,1.0,1.0,0,640,2937.0,0.0,f,4.83,1.6796561374309336,Both,0.85,t,10.0,t,6,0.6989692125631415
1498631,2024-09-13,1351.0,2,1125,0,1,0,1.0,Praha 2,Entire home/apt,4,1.0,1.0,0,517,995.0,0.0,f,4.91,1.6796561374309336,Both,0.62,t,56.0,t,0,0.7015830388194636
44490615,2024-09-13,2100.0,2,1125,0,1,0,0.4082191780821917,Praha 7,Entire home/apt,2,1.0,1.0,0,442,2100.0,0.0,f,4.87,,Both,3.97,t,8.0,t,9,0.6266840489100147
45084996,2024-09-13,650.0,1,1125,0,1,0,0.7342465753424657,Praha 10,Entire home/apt,2,1.0,2.0,0,403,2000.0,0.0,f,4.88,3.8180694127366808,Both,0.47,t,23.0,t,0,0.6375503785469953
682315386132776755,2024-09-13,2610.0,2,1125,0,1,0,0.7178082191780822,Praha 1,Entire home/apt,2,1.0,1.0,0,801,2330.0,0.0,t,4.92,3.855206085764145,Both,4.68,f,7.0,t,9,0.7050595106557012
